model,iter,tracc,trfa,trdr,teacc,tefa,tedr,tteacc,ttefa,ttedr
YbsFdnn,6,0.796519913,0.001881468,0.003699593,0.797025466,0.001811745,0.002467613,0.784592088,0.002888434,0.00221533
YbsFdnn,7,0.794975933,0.002832861,0.003695492,0.793230421,0.0028496,0.001504983,0.8187369,0.001334965,0.003528226
YbsFdnn,8,0.791228463,0.002633807,0.001801153,0.795584128,0.002446052,0.001385719,0.800405885,0.001013685,0.002037697
YbsFdnn,9,0.791059428,0.002192773,0.003631082,0.795143917,0.002112254,0.001850329,0.808735592,0.001285072,0.002726034
NbsHsvm,0,0.995772947,0.002774566,0.993040452,0.745625294,0.173265261,0.586801884,0.594339623,0.228252968,0.164415737
NbsHsvm,1,0.9965646,0.001366431,0.992621528,0.754275702,0.163451777,0.590970156,0.50635514,0.377440347,0.248495788
NbsHsvm,2,0.997148004,0.001152605,0.993975904,0.749391884,0.16212398,0.576586433,0.628709199,0.236386768,0.266073871
NbsHsvm,3,0.997102775,0.001641651,0.994768963,0.747891729,0.173842949,0.595826707,0.608171977,0.256255213,0.239364719
NbsHsvm,4,0.99681432,0.001391788,0.993423937,0.754684949,0.162632655,0.592047271,0.620425124,0.251999086,0.323404255
NbsHsvm,5,0.997906699,0.000683683,0.995217391,0.751690464,0.166509855,0.588755406,0.568079703,0.267757966,0.237338045
NbsHsvm,6,0.996541353,0.001609195,0.993043478,0.752612001,0.162900119,0.586084282,0.534017094,0.374668914,0.310548026
NbsHsvm,7,0.997285068,0.000689655,0.993421053,0.761836745,0.156975184,0.600542951,0.525232068,0.316770186,0.190526316
NbsHsvm,8,0.997158241,0.000683216,0.993028322,0.758203131,0.162335774,0.600337106,0.57946528,0.277350192,0.281464531
NbsHsvm,9,0.996365289,0.001157943,0.991684902,0.751733251,0.165895442,0.589851497,0.571586425,0.241694537,0.118918919
NbsHrf,0,1,0,1,0.730626576,0.037759992,0.286936461,0.695737471,0.026127049,0.058132707
NbsHrf,1,1,0,1,0.743362399,0.04289981,0.327895595,0.527980069,0.282620922,0.122743682
NbsHrf,2,1,0,1,0.736660338,0.046638718,0.323565788,0.706139517,0.040273756,0.047195622
NbsHrf,3,1,0,1,0.740013654,0.04714293,0.336851236,0.647390047,0.129783694,0.039705048
NbsHrf,4,1,0,1,0.741026535,0.036148836,0.313508016,0.637043054,0.114385965,0.071808511
NbsHrf,5,1,0,1,0.732933294,0.051936879,0.312349832,0.623642943,0.144688645,0.176678445
